Player Name,Team,Goals,Assists,Minutes Played,Completed Passes,Incomplete Passes,Tackles,Interceptions,Dribbles,Shots,Saves,Clean Sheets
B. Mendy,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
F. Delph,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
Lee Grant,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
Gary Cahill,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
Daniel Noel Drinkwater,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
Mark Noble,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
F. Burns,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
L. Dendoncker,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
A. Raikhy,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
H. Blair,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Cadogan,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
James Storer,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
Joshua Keeley,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Raymond,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Sheridan,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Wilson-Brown,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Fredricson,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Vigor,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Gidaree,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Addae,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
E. Mwepu,N/A,0.0,1.0,N/A,75.0,-75,10.0,N/A,N/A,2.0,N/A,N/A
W. Caballero,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. McArthur,N/A,0.0,,N/A,52.0,-52,1.0,N/A,N/A,,N/A,N/A
L. Grabban,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Onomah,N/A,0.0,,N/A,6.0,-6,1.0,N/A,N/A,,N/A,N/A
D. Rankine,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Muir,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
Marcelo,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Brooking,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
B. Genesini,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
D. Corness,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
B. Hardley,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
S. Murray,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
B. Elliott,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Mothersille,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
H. Graczyk,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
Z. Monlouis,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
Kaide Gordon,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Lewis-Skelly,N/A,,,N/A,,N/A,,N/A,N/A,,N/A,N/A
N. van Haveren,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
D. Alli,N/A,0.0,,N/A,15.0,-15,,N/A,N/A,,N/A,N/A
P. Jones,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Domgjoni,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Walcott,N/A,2.0,2.0,N/A,240.0,-240,13.0,N/A,N/A,15.0,N/A,N/A
E. Jakupović,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Albrighton,N/A,1.0,,N/A,113.0,-113,4.0,N/A,N/A,2.0,N/A,N/A
J. Tomkins,N/A,1.0,,N/A,171.0,-171,4.0,N/A,N/A,2.0,N/A,N/A
J. Stanislas,N/A,0.0,,N/A,27.0,-27,,N/A,N/A,1.0,N/A,N/A
R. Bertrand,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
A. Smithies,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
H. Arter,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
S. Dallas,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Šarkić,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Hájek,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
B. Williams,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Baptiste,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
E. Wady,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
G. Shelvey,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
D. Lembikisa,N/A,0.0,,N/A,11.0,-11,,N/A,N/A,,N/A,N/A
R. Flamingo,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
L. Kurzawa,N/A,0.0,,N/A,27.0,-27,3.0,N/A,N/A,,N/A,N/A
J. Matip,N/A,1.0,,N/A,879.0,-879,15.0,N/A,N/A,5.0,N/A,N/A
Felipe,N/A,0.0,1.0,N/A,556.0,-556,42.0,N/A,N/A,8.0,N/A,N/A
Thiago Alcântara,N/A,0.0,,N/A,1085.0,-1085,43.0,N/A,N/A,3.0,N/A,N/A
K. Navas,N/A,0.0,,N/A,464.0,-464,,N/A,N/A,,N/A,N/A
A. Martial,N/A,6.0,2.0,N/A,320.0,-320,5.0,N/A,N/A,21.0,N/A,N/A
L. Karius,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
S. Ghoddos,N/A,0.0,,N/A,69.0,-69,2.0,N/A,N/A,1.0,N/A,N/A
D. Praet,N/A,1.0,,N/A,248.0,-248,12.0,N/A,N/A,3.0,N/A,N/A
C. Kouyaté,N/A,1.0,,N/A,245.0,-245,30.0,N/A,N/A,5.0,N/A,N/A
S. Alzate,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
Ivan Cavaleiro,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
R. Fredericks,N/A,0.0,,N/A,163.0,-163,3.0,N/A,N/A,,N/A,N/A
W. Hennessey,N/A,0.0,,N/A,84.0,-84,1.0,N/A,N/A,,N/A,N/A
P. Dummett,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Kongolo,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
D. Randolph,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
E. Marcondes,N/A,0.0,,N/A,1.0,-1,,N/A,N/A,,N/A,N/A
N. Ferguson,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
C. Plain,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
S. Aurier,N/A,1.0,,N/A,734.0,-734,64.0,N/A,N/A,8.0,N/A,N/A
Cédric Soares,N/A,0.0,,N/A,20.0,-20,,N/A,N/A,,N/A,N/A
Mohamed Elneny,N/A,0.0,,N/A,60.0,-60,1.0,N/A,N/A,,N/A,N/A
Willian,N/A,5.0,5.0,N/A,846.0,-846,13.0,N/A,N/A,28.0,N/A,N/A
André Gomes,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
S. Armstrong,N/A,2.0,1.0,N/A,623.0,-623,32.0,N/A,N/A,13.0,N/A,N/A
A. Knockaert,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
N. Kebano,N/A,0.0,3.0,N/A,188.0,-188,17.0,N/A,N/A,8.0,N/A,N/A
K. Appiah-Forson,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
D. Simeu,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
C. Campbell,N/A,0.0,,N/A,28.0,-28,2.0,N/A,N/A,2.0,N/A,N/A
